Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source,type,FacilityType
Democratic Republic of the Congo,Haut Katanga,Kisanga General Referencia,Hôpital Général de Référence,Publique,-11.6981,27.4552,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Kowe General Referencia,Hôpital Général de Référence,Publique,-11.7406,27.4645,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Likasi General Referencia,Hôpital Général de Référence,Publique,-10.994,26.7479,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Lubumbashi General Referencia,Hôpital Général de Référence,Publique,-11.6753,27.4322,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Lukafu General Referencia,Hôpital Général de Référence,Publique,-10.5099,27.5459,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Mitwaba General Referencia,Hôpital Général de Référence,Publique,-8.648,27.3408,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Mumbunda General Referencia,Hôpital Général de Référence,Publique,-11.8733,27.4595,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Panda General Referencia,Hôpital Général de Référence,Publique,-11.3478,26.7627,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Pweto General Referencia,Hôpital Général de Référence,Publique,-8.4698,28.8996,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Rwashi General Referencia,Hôpital Général de Référence,Publique,-11.6396,27.5402,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Sakania Hôpital Général de Référence,Hôpital Général de Référence,Publique,-12.7488,28.566,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Katanga,Vangu General Referencia,Hôpital Général de Référence,Publique,-11.658,27.4655,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Baka General Referencia,Hôpital Général de Référence,Publique,-8.7839,24.9597,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Bukama Hôpital Général de Référence,Hôpital Général de Référence,Publique,-9.1981,25.8544,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Butumba General Referencia,Hôpital Général de Référence,Publique,-8.9034,26.0631,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Kabondo Dianda General Referencia,Hôpital Général de Référence,Publique,-8.9115,25.6635,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Kabongo Hôpital Général de Référence,Hôpital Général de Référence,Publique,-7.3979,25.6337,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Kakanga Hôpital,Hôpital,Publique,-7.5146,26.3827,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Kamina Hôpital Général de Référence,Hôpital Général de Référence,Publique,-8.7366,24.99,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Kaniama Hôpital Général de Référence,Hôpital Général de Référence,Publique,-7.5146,24.1735,GeoNames,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Kayamba General Referencia,Hôpital Général de Référence,Publique,-6.8014,25.2249,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Haut Lomami,Kayeye Hôpital,Hôpital,Publique,-8.5813,25.8826,GeoNames,Hôpital,Hospital
